Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
860630.453296,3699461.0,3189659.0,120,570.0,91966.0
,,,450,4.5,
,,,2450,5.0,
,,,440,7.5,
,,,680,1.0,
,,,2970,3.0,
,,,110,9.0,
,,,1480,0.0,
,,,780,6.5,
,,,5330,5.0,
,,,3050,4.5,
,,,4610,4.5,
,,,770,5.5,
,,,850,3.5,
,,,11780,-0.5,
,,,3950,4.0,
,,,1250,10.5,
,,,1590,2.5,
,,,6350,7.0,
,,,750,4.0,
,,,4490,8.0,
,,,1660,7.5,
,,,700,5.5,
,,,2980,3.0,
,,,1650,2.0,
,,,2290,4.5,
,,,180,9.0,
,,,720,6.0,
,,,1810,13.0,
,,,2520,2.5,
,,,6370,3.5,
,,,430,7.5,
,,,350,0.5,
,,,320,4.0,
,,,380,3.0,
,,,2700,10.0,
,,,2310,4.5,
,,,10160,-0.5,
,,,2320,8.0,
,,,1630,6.0,
,,,1010,6.0,
,,,440,3.5,
,,,680,5.5,
,,,1400,6.0,
,,,1750,-2.0,
,,,4550,10.5,
,,,270,4.5,
,,,6330,4.0,
,,,10860,6.0,
,,,300,4.5,
,,,2570,6.0,
,,,500,13.5,
,,,710,-4.0,
,,,5600,8.0,
,,,2150,7.0,
,,,170,6.0,
,,,180,7.0,
,,,1220,5.5,
,,,800,4.0,
,,,1280,10.5,
,,,1160,2.5,
,,,680,5.5,
,,,820,7.5,
,,,1220,1.5,
,,,980,5.5,
,,,4070,5.5,
,,,3310,14.5,
,,,830,8.0,
,,,160,2.0,
,,,320,11.0,
,,,640,6.0,
,,,12960,5.5,
,,,12650,6.0,
,,,2710,8.0,
,,,2720,5.5,
,,,570,5.0,
,,,4870,5.5,
,,,4920,2.5,
,,,940,1.0,
,,,1890,7.0,
,,,2510,12.0,
,,,11010,5.0,
,,,2060,2.0,
,,,430,9.0,
,,,4850,4.5,
,,,2430,5.5,
,,,870,2.5,
,,,2360,4.5,
,,,6560,-1.0,
,,,3470,4.5,
,,,1180,4.5,
,,,640,8.0,
,,,520,4.5,
,,,3070,2.0,
,,,1380,8.5,
,,,800,14.0,
,,,2150,12.0,
,,,1090,5.0,
,,,470,3.5,
,,,460,5.5,
,,,760,9.5,
,,,5300,7.0,
,,,1910,4.5,
,,,620,5.0,
,,,5810,4.0,
,,,5170,8.0,
,,,370,3.5,
,,,2130,6.0,
,,,830,4.5,
,,,2350,7.0,
,,,2610,7.0,
,,,1390,-4.0,
,,,1650,6.0,
,,,1010,4.5,
,,,450,6.5,
,,,1330,8.0,
,,,3840,8.0,
,,,430,4.0,
,,,1370,6.5,
,,,1860,0.5,
,,,480,9.5,
,,,610,3.5,
,,,2360,1.0,
,,,910,4.5,
,,,2100,7.5,
,,,830,5.5,
,,,1170,10.0,
,,,530,12.5,
,,,470,7.5,
,,,750,6.5,
,,,860,7.5,
,,,5420,10.0,
,,,4180,3.5,
,,,3000,0.5,
,,,1760,5.0,
,,,1840,3.0,
,,,1340,4.0,
,,,910,4.5,
,,,1270,6.5,
,,,1550,3.5,
,,,580,7.5,
,,,510,4.5,
,,,690,4.0,
,,,330,7.0,
,,,240,4.5,
,,,4480,2.0,
,,,3740,7.5,
,,,1660,10.0,
,,,4700,6.5,
,,,3820,12.0,
,,,3820,7.5,
,,,4810,7.5,
,,,1520,5.5,
,,,920,8.0,
,,,670,4.0,
,,,370,5.0,
,,,850,10.0,
,,,1140,6.5,
,,,3590,5.5,
,,,3380,0.0,
,,,12460,9.0,
,,,5500,8.0,
,,,5850,8.5,
,,,10560,1.0,
,,,690,2.5,
,,,530,7.0,
,,,3460,7.0,
,,,5460,1.5,
,,,370,13.5,
,,,6000,8.0,
,,,760,8.5,
,,,11440,8.5,
,,,1180,3.5,
,,,4290,0.5,
,,,2080,11.5,
,,,840,10.5,
,,,1630,4.0,
,,,2020,9.0,
,,,3920,1.0,
,,,1730,2.0,
,,,1420,2.5,
,,,420,5.5,
,,,1620,7.0,
,,,160,10.5,
,,,2550,3.5,
,,,240,8.5,
,,,1000,9.0,
,,,10690,1.5,
,,,4040,8.0,
,,,2010,7.5,
,,,2670,-1.0,
,,,1390,12.5,
,,,350,6.0,
,,,4310,-0.5,
,,,1610,6.5,
,,,980,6.5,
,,,120,5.5,
,,,910,1.0,
,,,9000,5.0,
,,,1630,5.5,
,,,1880,4.0,
,,,2880,3.5,
,,,400,5.0,
,,,5880,6.5,
,,,1860,-0.5,
,,,2250,5.0,
,,,830,4.0,
,,,1670,4.0,
,,,320,0.0,
,,,1340,373.0,
,,,6890,3.0,
,,,1850,5.5,
,,,4610,6.5,
,,,1200,-0.5,
,,,500,0.0,
,,,780,8.0,
,,,3270,6.5,
,,,6160,4.0,
,,,2280,1.5,
,,,390,4.5,
,,,2860,4.5,
,,,360,1.0,
,,,5320,12.5,
,,,3440,6.0,
,,,1470,9.5,
,,,1040,6.5,
,,,4660,4.5,
,,,3560,5.0,
,,,5260,1.5,
,,,1640,3.0,
,,,1270,8.0,
,,,2410,6.5,
,,,3900,13.5,
,,,8070,6.0,
,,,1090,11.5,
,,,3150,11.5,
,,,550,8.0,
,,,1970,5.5,
,,,3560,5.5,
,,,3120,5.5,
,,,1050,4.0,
,,,280,6.5,
,,,2300,5.5,
,,,280,-0.5,
,,,2370,7.0,
,,,3310,6.0,
,,,6680,9.5,
,,,1600,8.0,
,,,2790,6.0,
,,,1120,8.5,
,,,810,7.5,
,,,6270,3.5,
,,,570,2.0,
,,,3060,2.0,
,,,1530,10.0,
,,,1120,9.0,
,,,3390,7.5,
,,,1020,5.0,
,,,1290,378.0,
,,,530,5.5,
,,,6410,9.0,
,,,4690,6.5,
,,,150,12.0,
,,,280,4.5,
,,,16710,1.5,
,,,2010,2.5,
,,,480,7.0,
,,,230,5.0,
,,,2060,2.5,
,,,7310,13.0,
,,,580,-1.0,
,,,12240,6.5,
,,,2720,1.0,
,,,3170,0.0,
,,,4160,8.0,
,,,7890,14.5,
,,,670,5.0,
,,,2390,8.5,
,,,2750,0.0,
,,,6010,-1.0,
,,,2750,2.0,
,,,370,-2.0,
,,,6040,6.0,
,,,940,14.5,
,,,610,8.5,
,,,3680,6.5,
,,,1050,7.0,
,,,6960,8.0,
,,,1770,7.5,
,,,1490,2.5,
,,,3510,3.5,
,,,3320,10.5,
,,,550,7.5,
,,,1330,8.5,
,,,670,8.0,
,,,8910,5.0,
,,,1190,7.0,
,,,930,7.0,
,,,7380,5.5,
,,,350,6.5,
,,,440,4.5,
,,,4470,6.0,
,,,2580,2.0,
,,,4090,8.0,
,,,2140,7.5,
,,,930,12.0,
,,,170,-0.5,
,,,6420,1.5,
,,,5710,9.5,
,,,2270,4.0,
,,,1020,4.0,
,,,5260,5.0,
,,,3990,-0.5,
,,,330,5.5,
,,,2220,2.0,
,,,580,8.0,
,,,2100,5.5,
,,,1090,10.5,
,,,7140,3.0,
,,,180,5.0,
,,,2200,4.5,
,,,1680,10.5,
,,,740,7.0,
,,,1180,6.5,
,,,1760,8.5,
,,,2000,0.5,
,,,1940,5.5,
,,,810,5.5,
,,,740,4.5,
,,,2250,3.5,
,,,1920,8.5,
,,,15340,1.5,
,,,3940,7.0,
,,,430,7.0,
,,,390,7.5,
,,,4150,2.5,
,,,1920,7.5,
,,,1610,6.0,
,,,1940,7.0,
,,,1370,8.0,
,,,2080,11.0,
,,,4610,1.5,
,,,3580,-0.5,
,,,640,5.5,
,,,650,4.0,
,,,4480,5.5,
,,,5170,3.0,
,,,2080,6.5,
,,,470,8.5,
,,,8360,3.5,
,,,1130,1.0,
,,,3190,7.0,
,,,1460,3.5,
,,,3010,5.5,
,,,1730,5.0,
,,,2520,4.5,
,,,4250,4.5,
,,,170,3.0,
,,,310,4.5,
,,,1240,5.0,
,,,1850,2.0,
,,,2170,7.5,
,,,1090,7.5,
,,,2070,2.0,
,,,1780,5.0,
,,,17480,0.0,
,,,280,8.5,
,,,1270,7.0,
,,,5100,13.0,
,,,130,3.5,
,,,1130,0.5,
,,,5980,4.0,
,,,910,15.5,
,,,4510,0.5,
,,,870,11.5,
,,,850,7.0,
,,,4430,2.5,
,,,490,6.5,
,,,1920,4.0,
,,,1800,13.5,
,,,1210,3.5,
,,,710,5.0,
,,,950,8.5,
,,,1070,13.5,
,,,1440,5.0,
,,,1430,9.5,
,,,1890,1.0,
,,,320,10.5,
,,,420,4.5,
,,,700,7.0,
,,,7240,0.0,
,,,130,6.5,
,,,550,2.5,
,,,950,12.0,
,,,1300,7.0,
,,,260,3.0,
,,,4560,2.0,
,,,760,8.5,
,,,4680,5.5,
,,,1300,11.0,
,,,190,3.5,
,,,1200,5.0,
,,,910,8.5,
,,,1070,9.0,
,,,660,9.0,
,,,1780,2.0,
,,,1450,4.5,
,,,4040,-6.0,
,,,2020,6.0,
,,,2270,-1.0,
,,,2000,-1.0,
,,,470,9.0,
,,,1110,7.5,
,,,3620,3.0,
,,,1000,6.5,
,,,1260,11.0,
,,,3010,8.0,
,,,1760,3.5,
,,,3490,3.0,
,,,470,-4.0,
,,,3460,4.5,
,,,3960,5.0,
,,,600,3.5,
,,,150,10.5,
