Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
597113.569624,2660344.0,3004617.0,180,4.0,94509.0
,,,800,0.5,
,,,260,4.0,
,,,2020,6.0,
,,,2300,1.5,
,,,8510,5.0,
,,,6650,0.5,
,,,2720,4.0,
,,,1120,-3.5,
,,,1740,4.0,
,,,2430,0.0,
,,,1560,-0.5,
,,,2600,7.0,
,,,200,-1.5,
,,,2820,-2.0,
,,,6750,1.5,
,,,4150,-24.0,
,,,180,1.0,
,,,1290,7.5,
,,,1520,2.5,
,,,2570,5.5,
,,,1190,1.5,
,,,1170,4.5,
,,,210,-3.0,
,,,1610,5.0,
,,,690,2.5,
,,,3890,1.5,
,,,3130,4.0,
,,,1800,0.5,
,,,300,1.5,
,,,2090,4.5,
,,,4760,1.5,
,,,5350,4.5,
,,,1230,1.5,
,,,200,9.5,
,,,1320,-0.5,
,,,190,2.5,
,,,1780,1.0,
,,,3970,-0.5,
,,,10800,0.5,
,,,1300,3.5,
,,,3340,-0.5,
,,,230,4.0,
,,,2310,2.5,
,,,1940,0.5,
,,,300,2.0,
,,,7030,1.5,
,,,2880,0.5,
,,,310,12.0,
,,,7090,5.5,
,,,760,0.0,
,,,1320,2.0,
,,,1890,-2.5,
,,,1040,0.5,
,,,1900,0.0,
,,,1020,5.5,
,,,2480,-2.0,
,,,5650,2.5,
,,,1020,4.5,
,,,3230,1.5,
,,,310,6.5,
,,,4410,3.0,
,,,840,5.0,
,,,1430,1.0,
,,,250,5.5,
,,,640,4.0,
,,,7540,0.0,
,,,4880,2.5,
,,,1620,-1.5,
,,,340,4.5,
,,,190,3.5,
,,,3830,3.0,
,,,2910,3.5,
,,,340,0.5,
,,,1070,2.0,
,,,230,3.5,
,,,1900,4.5,
,,,460,6.5,
,,,400,-3.0,
,,,1140,1.0,
,,,750,0.0,
,,,2910,3.5,
,,,2430,0.0,
,,,160,4.5,
,,,1600,2.5,
,,,170,-6.5,
,,,280,2.5,
,,,5390,2.0,
,,,570,5.5,
,,,7780,6.5,
,,,9710,1.5,
,,,210,2.0,
,,,220,3.5,
,,,960,5.5,
,,,150,6.5,
,,,4250,2.0,
,,,2700,0.0,
,,,1050,1.0,
,,,350,2.5,
,,,260,4.5,
,,,4470,1.5,
,,,890,3.0,
,,,1370,4.0,
,,,4530,0.0,
,,,830,5.0,
,,,1270,5.0,
,,,1240,6.0,
,,,8930,3.5,
,,,7010,2.0,
,,,600,4.5,
,,,1360,5.0,
,,,2030,6.5,
,,,1180,1.5,
,,,1550,3.5,
,,,970,0.5,
,,,1660,8.5,
,,,130,1.5,
,,,5010,1.0,
,,,1490,2.0,
,,,4770,-0.5,
,,,930,1.5,
,,,2020,2.0,
,,,7130,0.0,
,,,2100,2.5,
,,,2680,5.0,
,,,1040,1.5,
,,,1310,3.0,
,,,6930,3.0,
,,,5780,6.5,
,,,1080,4.5,
,,,1300,5.5,
,,,600,6.0,
,,,1790,1.5,
,,,930,0.5,
,,,910,6.0,
,,,5900,-1.5,
,,,3250,1.5,
,,,590,7.5,
,,,490,0.0,
,,,390,2.5,
,,,310,3.0,
,,,5310,0.5,
,,,1280,2.5,
,,,2480,3.5,
,,,1770,5.0,
,,,3670,-0.5,
,,,290,2.5,
,,,4210,1.0,
,,,200,-0.5,
,,,1640,3.0,
,,,7600,3.0,
,,,4660,2.0,
,,,290,3.0,
,,,590,-1.0,
,,,910,2.0,
,,,300,5.5,
,,,1380,-3.0,
,,,1090,0.0,
,,,1630,2.0,
,,,2920,2.5,
,,,820,1.5,
,,,480,0.0,
,,,130,0.5,
,,,820,2.5,
,,,490,0.0,
,,,2350,5.0,
,,,5990,2.0,
,,,1430,6.0,
,,,2670,2.5,
,,,710,6.0,
,,,710,1.5,
,,,3850,2.5,
,,,3530,2.0,
,,,280,1.5,
